vEquipment Category;Equipment Name and Model;OEM / Manufacturer;Serial Number;Last Calibration Date;Calibration Expiry Date;Certificate;Calibration Status;Notes
Laser Alignment;Fixturlaser R2;Fixturlaser South Africa (Pty) Ltd;03362;2025/05/05;2027/05/01;03362-20250506-43457;Valid;
Laser Alignment;Acoem S7;Acoem;41718;2025/03/10;2026/03/10;41718-20250310;Valid;
Laser Alignment;Fixturlaser M3;Fixturlaser South Africa (Pty) Ltd;85889;2025/05/05;2027/05/01;85889-20250505-43457;Valid;
Laser Alignment;Fixturlaser S3;Fixturlaser South Africa (Pty) Ltd;95889;2025/05/05;2027/05/01;95889-20250505-43457;Valid;
Thermal Camera;Flir E40;Repair and Metrology Services (Pty) Ltd;49002016;2025/09/01;2026/09/01;135305-1;Valid;
Laser Alignment;sensALIGN 7 Sensor;Hersteller;49004275;2024/12/04;2026/12/04;1504250247 152 04;Valid;
Laser Alignment;sensALIGN 7 Sensor;Hersteller;49022264;2024/02/13;2026/02/13;49475264_ 2024_02_13;Due Soon;
Laser Alignment;sensALIGN 7 Sensor;Hersteller;49110800;2024/02/14;2026/02/14;49140800 2024_02_14;Due Soon;
Thermal Equipment;Flir T640;Flir;55905783;2025/01/20;2026/01/20;132288-1;Expired;
Thermal Equipment;Flir T530;Flir;79302627;2025/10/29;2026/10/29;136287-1;Valid;
Thermal Equipment;Flir T540;Flir;79318361;2025/03/17;2026/03/17;132711-1;Valid;
Thermal Equipment;Flir E54;Flir;84510173;2025/06/19;2026/06/19;134294-1;Valid;
Motor Circuit Analysis;All Test Pro 5;All Test Pro;ATSX1119;2025/07/14;2028/07/13;VC0000029;Valid;
Motor Circuit Analysis;ATTP MCA Tester;All Test Pro;AT701667;2025/02/03;2026/02/03;TVC0000005;Due Soon;
Vibration Analysis;Portable Vibration Calibrator;The Modal Shop;9110D;2025/11/12;2026/11/12;PRD-P297;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B2140140724;2025/10/31;2026/10/30;C10-202549;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B2140140833;2025/10/31;2026/10/30;C10-202555;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401150773;2025/10/31;2026/10/30;C10-202542;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401161342;2025/03/28;2026/03/27;C03-202533;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401172280;2025/04/01;2026/04/01;C04-202534;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401172281;2025/10/31;2026/10/30;C10-202554;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401183989;2025/10/31;2026/10/30;C10-202539;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401195137;2025/04/11;2026/04/11;C04-202540;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401216460;2025/10/31;2026/10/30;C10-202544;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401216461;2025/10/31;2026/10/30;C10-202541;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401216462;2025/10/31;2026/10/30;C10-202557;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401216467;2025/10/31;2026/10/30;C10-202545;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401216468;2025/10/31;2026/10/30;C10-202560;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401216469;2025/03/28;2026/03/27;C03-202531;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401216472;2025/10/31;2026/10/30;C10-202557;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401216473;2025/10/31;2026/10/30;C10-202559;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401216474;2025/10/31;2026/10/30;C10-202547;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401216475;2025/09/03;2026/09/02;C09-202501;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401216476;2025/10/31;2026/10/30;C10-202553;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401216478;2025/10/31;2026/10/30;C10-202556;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401216479;2025/10/31;2026/10/30;C10-202543;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401216480;2025/10/31;2026/10/30;C10-202551;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401216481;2025/10/31;2026/10/30;C10-202552;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401237748;2025/10/31;2026/10/30;C10-202546;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401237749;2025/03/28;2026/03/27;C03-202530;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401237750;2025/08/25;2026/11/24;CP0051;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401238055;2025/03/29;2026/03/28;C10-202548;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401238056;2025/03/28;2026/03/27;C03-202532;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401238057;2025/08/25;2026/11/24;CP0051;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401238058;2025/10/31;2026/10/30;C10-202540;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401248300;2025/07/04;2026/07/03;C07-202501;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401248304;2025/09/03;2026/09/02;C09-202502;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401248305;2025/07/04;2026/07/03;C07-202502;Valid;
Vibration Analysis;AMS2140 Analyzer;Emerson;B21401283996;2025/10/31;2026/10/30;C10-202550;Valid;
